--------- beginning of /dev/log/system
D/Genyd   (   56): error connecting to baseband :(Connection refused) 4 retries left
D/local_opengl(  112): Starting local_opengl
I/WifiService(  290): WifiService trying to set country code to us with persist set to true
I/ActivityManager(  290): Config changed: {1.0 310mcc260mnc en_US sw320dp w320dp h508dp nrml long port finger qwerty/v/v dpad/v s.5}
I/ActivityManager(  290): Start proc com.android.deskclock for broadcast com.android.deskclock/com.android.alarmclock.AnalogAppWidgetProvider: pid=603 uid=10012 gids={1028}
D/ConnectivityService(  290): ConnectivityChange for mobile: CONNECTED/CONNECTED
W/SocketClient(  116): write error (Broken pipe)
W/ActivityManager(  290): Permission denied: checkComponentPermission() owningUid=1000
W/BroadcastQueue(  290): Permission Denial: broadcasting Intent { act=android.appwidget.action.APPWIDGET_UPDATE_OPTIONS flg=0x10 cmp=com.android.settings/.widget.SettingsAppWidgetProvider (has extras) } from android (pid=477, uid=10021) is not exported from uid 1000 due to receiver com.android.settings/com.android.settings.widget.SettingsAppWidgetProvider
D/PowerManagerService(  290): bootCompleted
V/DevicePolicyManagerService(  290): Sending password expiration notifications for action android.intent.action.BOOT_COMPLETED
W/MountService(  290): Duplicate state transition (mounted -> mounted) for /mnt/sdcard
D/MountService(  290): sendStorageIntent Intent { act=android.intent.action.MEDIA_MOUNTED dat=file:///mnt/sdcard (has extras) }
I/ActivityManager(  290): Start proc com.android.contacts for broadcast com.android.contacts/.calllog.CallLogReceiver: pid=658 uid=10000 gids={3003, 1015, 1028}
V/WiredAccessoryObserver(  290): init()
I/ActivityManager(  290): Start proc com.android.providers.calendar for broadcast com.android.providers.calendar/.CalendarReceiver: pid=689 uid=10007 gids={3003, 1015, 1028}
I/ActivityManager(  290): Start proc android.process.media for content provider com.android.providers.downloads/.DownloadProvider: pid=701 uid=10014 gids={1015, 1023, 1024, 1028, 1006, 2001, 3003, 3007}
I/ActivityManager(  290): Start proc com.android.email for broadcast com.android.email/.service.EmailBroadcastReceiver: pid=735 uid=10015 gids={3003, 1015, 1028}
I/ActivityManager(  290): Start proc com.android.exchange for service com.android.exchange/.ExchangeService: pid=752 uid=10016 gids={3003, 1015, 1028}
